61,19,26,
20,68,44,
49,33,47,
59,29,26,
20,69,41,
41,54,43,
56,61,35,
27,71,41,
46,34,31,
48,48,36,
32,49,34,
31,69,26,
25,62,49,
56,69,37,
27,47,42,
59,73,44,
54,64,45,
47,59,46,
52,76,45,
38,15,54,
20,33,52,
28,38,37,
20,17,46,
33,36,54,
59,44,50,
62,43,36,
60,34,27,
65,46,46,
69,61,53,
58,34,51,
51,57,41,
45,23,50,
54,38,29,
23,17,36,
56,30,33,
26,23,51,
65,15,26,
60,64,54,
23,55,43,
68,41,41,
40,51,28,
54,43,30,
22,24,51,
57,72,25,
55,77,48,
51,40,41,
58,31,40,
37,47,36,
22,38,30,
23,25,32,
36,28,27,
25,21,37,
50,40,26,
60,29,42,
33,38,54,
26,18,32,
55,75,25,
21,41,31,
48,19,38,
34,37,29,
54,45,45,
31,75,37,
61,69,34,
41,79,25,
38,47,28,
32,44,50,
38,26,39,
21,53,55,
52,41,26,
28,65,36,
69,29,40,
32,58,36,
56,56,44,
62,59,40,
47,73,25,
29,60,28,
46,19,28,
52,33,38,
47,51,41,
62,68,51,
47,40,27,
67,30,31,
46,38,42,
41,31,54,
20,41,39,
30,27,46,
67,35,41,
65,42,54,
65,17,31,
59,54,37,
52,40,42,
28,49,30,
51,45,43,
47,64,54,
26,25,29,
30,47,39,
32,20,32,
43,48,45,
27,60,30,
22,59,31,
34,73,44,
29,64,30,
60,52,38,
41,38,38,
35,49,39,
67,29,53,
46,61,46,
50,29,42,
54,45,31,
31,51,44,
30,66,47,
41,65,47,
49,76,53,
68,55,29,
29,48,28,
38,67,54,
27,39,31,
55,25,32,
62,65,45,
23,68,40,
26,66,41,
35,75,49,
25,34,49,
34,16,53,
69,60,50,
39,37,28,
50,44,29,
26,52,33,
57,45,29,
28,50,53,
52,20,28,
28,60,48,
41,18,43,
31,50,26,
20,68,42,
47,62,38,
32,40,39,
38,68,45,
58,79,28,
36,37,51,
51,40,40,
70,53,54,
27,34,33,
70,15,35,
34,77,37,
27,70,30,
47,24,54,
52,57,48,
66,36,26,
50,48,47,
66,38,36,
54,35,36,
66,66,34,
53,78,52,
53,29,53,
35,67,35,
27,46,30,
63,77,41,
23,41,53,
43,49,25,
36,78,42,
70,53,32,
63,72,33,
54,55,45,
61,36,37,
67,22,30,
26,60,36,
60,17,45,
61,21,39,
64,47,31,
34,56,46,
25,50,48,
30,70,38,
61,20,30,
40,70,33,
20,51,31,
31,73,49,
25,47,26,
28,57,31,
41,40,48,
65,63,48,
69,66,39,
47,59,38,
65,59,47,
42,26,53,
27,17,32,
59,24,55,
44,33,55,
52,45,51,
36,19,32,
64,68,37,
27,30,32,
44,22,35,
34,74,36,
29,27,41,
25,48,34,
45,69,52,
39,68,36,
57,36,49,
63,52,26,
46,58,45,
68,72,44,
61,59,32,
43,53,50,
25,58,25,
37,61,36,
49,50,35,
57,45,50,
69,55,47,
34,28,31,
21,59,33,
51,54,46,
23,47,45,
20,80,39,
49,45,41,
65,54,48,
30,33,33,
64,61,35,
69,55,46,
22,20,25,
38,26,26,
59,40,34,
65,47,55,
30,30,25,
39,59,27,
